Serial No,Direct Sequencing or Culture,Clone
836375-01,Culture,
836375-02,Culture,
836375-02.2,Culture,
836375-02.3,Culture,
836375-03,Culture,
836375-04,Culture,
836375-05,Culture,
836375-06,Culture,
836375-07,Culture,
836375-08,Culture,
836375-09,Culture,
836375-10,Culture,
836375-11,Culture,
836375-12,Culture,
836375-13,Culture,
836375-13-1,Culture,
836375-13-1.2,Culture,
836375-13.2,Culture,
836375-13.3,Culture,
836375-14,Culture,
836375-15,Culture,
836375-16,Culture,
836375-17,Culture,
836375-18,Culture,
836375-19,Culture,
836375-20,Culture,
836375-20.2,Culture,
836375-21,Direct,
836375-22,Direct,
836375-23,Direct,
836375-24,Direct,
836375-25,Direct,
836375-26,Direct,
836375-27,Direct,
836375-28,Direct,
836375-28--3,Direct,Y
836375-28--6,Direct,Y
836375-28--7,Direct,Y
836375-28--8,Direct,Y
836375-29,Direct,
836375-30,Direct,
836375-31,Direct,
836375-32,Direct,
836375-33,Direct,
836375-34,Direct,
836375-35,Direct,
836375-36,Direct,
836375-37,Direct,
836375-38,Direct,
836375-39,Direct,
836375-40,Direct,
836375-41,Control,
836375-41.2,Control,
836375-42,Control,
836445-01,Culture,
836445-02,Culture,
836445-02.2,Culture,
836445-03,Culture,
836445-03.2,Culture,
836445-04,Culture,
836445-04-1,Culture,
836445-05,Culture,
836445-06,Culture,
836445-07,Culture,
836445-08,Culture,
836445-08-1,Culture,
836445-08-2,Culture,
836445-09,Culture,
836445-10,Culture,
836445-11,Culture,
836445-12,Culture,
836445-12-1,Culture,
836445-12-1.2,Culture,
836445-12-2,Culture,
836445-13,Culture,
836445-14,Culture,
836445-15,Culture,
836445-16,Culture,
836445-17,Culture,
836445-17.2,Culture,
836445-18,Culture,
836445-18.2,Culture,
836445-19,Culture,
836445-19.2,Culture,
836445-20,Culture,
836445-21,Direct,
836445-22,Direct,
836445-23,Direct,
836445-24,Direct,
836445-25,Direct,
836445-25--2,Direct,Y
836445-25--3,Direct,Y
836445-25--4,Direct,Y
836445-25--5,Direct,Y
836445-25--6,Direct,Y
836445-25--7,Direct,Y
836445-25--8,Direct,Y
836445-25--9,Direct,Y
836445-25--10,Direct,Y
836445-25--11,Direct,Y
836445-25--12,Direct,Y
836445-26,Direct,
836445-27,Direct,
836445-28,Direct,
836445-29,Direct,
836445-30,Direct,
836445-31,Direct,
836445-32,Direct,
836445-33,Direct,
836445-34,Direct,
836445-35,Direct,
836445-36,Direct,
836445-37,Direct,
836445-38,Direct,
836445-39,Direct,
836445-40,Direct,
836445-41,Control,
836445-42,Control,
836467-01,Culture,
836467-02,Culture,
836467-03,Culture,
836467-04,Culture,
836467-04.2,Culture,
836467-05,Culture,
836467-05.2,Culture,
836467-06,Culture,
836467-07,Culture,
836467-07.2,Culture,
836467-08,Culture,
836467-09,Culture,
836467-10,Culture,
836467-11,Culture,
836467-12,Culture,
836467-13,Culture,
836467-14,Culture,
836467-15,Culture,
836467-16,Culture,
836467-17,Culture,
836467-18,Culture,
836467-19,Culture,
836467-20,Culture,
836467-20.2,Culture,
836467-21,Direct,
836467-22,Direct,
836467-23,Direct,
836467-24,Direct,
836467-25,Direct,
836467-26,Direct,
836467-27,Direct,
836467-28,Direct,
836467-29,Direct,
836467-30,Direct,
836467-30--2,Direct,Y
836467-30--9,Direct,Y
836467-30--10,Direct,Y
836467-30--12,Direct,Y
836467-31,Direct,
836467-32,Direct,
836467-33,Direct,
836467-34,Direct,
836467-35,Direct,
836467-36,Direct,
836467-37,Direct,
836467-38,Direct,
836467-38--1,Direct,Y
836467-38--2,Direct,Y
836467-38--3,Direct,Y
836467-38--9,Direct,Y
836467-38--11,Direct,Y
836467-38--12,Direct,Y
836467-39,Direct,
836467-40,Direct,
836467-41,Control,
836467-42,Control,
836478-01,Culture,
836478-02,Culture,
836478-03,Culture,
836478-04,Culture,
836478-05,Culture,
836478-06,Culture,
836478-07,Culture,
836478-08,Culture,
836478-09,Culture,
836478-10,Culture,
836478-11,Culture,
836478-12,Culture,
836478-13,Culture,
836478-13.2,Culture,
836478-13.3,Culture,
836478-13.4,Culture,
836478-13.5,Culture,
836478-14,Culture,
836478-14-1,Culture,
836478-14-1.2,Culture,
836478-14-2,Culture,
836478-15,Culture,
836478-16,Culture,
836478-17,Culture,
836478-18,Culture,
836478-19,Culture,
836478-20,Culture,
836478-21,Direct,
836478-21--3,Direct,Y
836478-21--8,Direct,Y
836478-21--10,Direct,Y
836478-21--11,Direct,Y
836478-22,Direct,
836478-23,Direct,
836478-24,Direct,
836478-25,Direct,
836478-26,Direct,
836478-26--4,Direct,Y
836478-26--5,Direct,Y
836478-26--7,Direct,Y
836478-26--8,Direct,Y
836478-26--9,Direct,Y
836478-26--12,Direct,Y
836478-27,Direct,
836478-28,Direct,
836478-28--05,Direct,Y
836478-28--06,Direct,Y
836478-28--07,Direct,Y
836478-28--08,Direct,Y
836478-28--09,Direct,Y
836478-28--10,Direct,Y
836478-28--11,Direct,Y
836478-28--12,Direct,Y
836478-29,Direct,
836478-30,Direct,
836478-31,Control,
836478-31.2,Control,
836478-31.3,Control,
836478-31.4,Control,
836478-32,Control,
836478-32.2,Control,
836478-33,Control,
836489-01,Culture,
836489-02,Culture,
836489-02.2,Culture,
836489-02.3,Culture,
836489-02.4,Culture,
836489-02.5,Culture,
836489-03,Culture,
836489-04,Culture,
836489-04.2,Culture,
836489-04.3,Culture,
836489-04.4,Culture,
836489-04.5,Culture,
836489-05,Culture,
836489-06,Culture,
836489-07,Culture,
836489-08,Culture,
836489-08.2,Culture,
836489-09,Culture,
836489-09.2,Culture,
836489-09.3,Culture,
836489-09.4,Culture,
836489-09.5,Culture,
836489-10,Culture,
836489-11,Culture,
836489-12,Culture,
836489-13,Culture,
836489-13.2,Culture,
836489-13.3,Culture,
836489-13.4,Culture,
836489-13.5,Culture,
836489-13.6,Culture,
836489-14,Culture,
836489-14.2,Culture,
836489-14.3,Culture,
836489-14.4,Culture,
836489-14.5,Culture,
836489-15,Culture,
836489-15.2,Culture,
836489-15.3,Culture,
836489-15.4,Culture,
836489-15.5,Culture,
836489-15.6,Culture,
836489-16,Culture,
836489-16.2,Culture,
836489-16.3,Culture,
836489-16.4,Culture,
836489-17,Culture,
836489-17.2,Culture,
836489-17.3,Culture,
836489-17.4,Culture,
836489-17.5,Culture,
836489-18,Culture,
836489-18.2,Culture,
836489-18.3,Culture,
836489-18.4,Culture,
836489-18.5,Culture,
836489-19,Culture,
836489-19.2,Culture,
836489-19.3,Culture,
836489-19.4,Culture,
836489-19.5,Culture,
836489-20,Culture,
836489-21,Direct,
836489-22,Direct,
836489-23,Direct,
836489-24,Direct,
836489-25,Direct,
836489-26,Direct,
836489-26--3,Direct,Y
836489-26--7,Direct,Y
836489-26--8,Direct,Y
836489-26--10,Direct,Y
836489-26--11,Direct,Y
836489-27,Direct,
836489-27--1,Direct,Y
836489-27--2,Direct,Y
836489-27--3,Direct,Y
836489-27--4,Direct,Y
836489-27--5,Direct,Y
836489-27--6,Direct,Y
836489-27--7,Direct,Y
836489-27--8,Direct,Y
836489-27--9,Direct,Y
836489-27--10,Direct,Y
836489-27--11,Direct,Y
836489-27--12,Direct,Y
836489-28,Direct,
836489-29,Direct,
836489-29--01,Direct,Y
836489-29--02,Direct,Y
836489-29--03,Direct,Y
836489-29--04,Direct,Y
836489-29--05,Direct,Y
836489-29--06,Direct,Y
836489-29--07,Direct,Y
836489-29--08,Direct,Y
836489-29--09,Direct,Y
836489-29--10,Direct,Y
836489-29--11,Direct,Y
836489-30,Direct,
836489-30.2,Direct,
