OTU,Phylum,Class,Order,Genus
Otu1,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu10,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium
Otu100,Ascomycota,Dothideomycetes,Pleosporales,Didymella
Otu101,Ascomycota,Sordariomycetes,Hypocreales,Fusarium
Otu102,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales gen.
Otu103,Ascomycota,Sordariomycetes,Xylariales,Xylariales gen.
Otu104,Ascomycota,Sordariomycetes,Hypocreales,Fusarium
Otu105,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium
Otu106,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu107,Ascomycota,Sordariomycetes,Hypocreales,Clonostachys
Otu108,Ascomycota,Dothideomycetes,Botryosphaeriales,Lasiodiplodia
Otu109,Ascomycota,Sordariomycetes,Hypocreales,Fusarium
Otu11,Ascomycota,Sordariomycetes,Hypocreales,Colletotrichum
Otu110,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriales gen.
Otu111,Ascomycota,Sordariomycetes,Diaporthales,Diaporthe
Otu112,Ascomycota,Sordariomycetes,Hypocreales,Fusarium
Otu113,Ascomycota,Dothideomycetes,Botryosphaeriales,Lasiodiplodia
Otu114,Ascomycota,Sordariomycetes,Hypocreales,Fusarium
Otu115,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu116,Ascomycota,Dothideomycetes,Capnodiales,Cladosporium
Otu117,Ascomycota,Dothideomycetes,Capnodiales,Cladosporium
Otu118,Ascomycota,Sordariomycetes,Xylariales,Xylariales gen.
Otu119,Ascomycota,Pezizomycetes,Pezizales,Pezizales gen.
Otu12,Ascomycota,Dothideomycetes,Pleosporales,Didymella
Otu120,Ascomycota,Eurotiomycetes,Eurotiales,Talaromyces
Otu121,Ascomycota,Sordariomycetes,Hypocreales,Fusarium
Otu122,Ascomycota,Dothideomycetes,Pleosporales,Curvularia
Otu123,Ascomycota,Sordariomycetes,Hypocreales,Fusarium
Otu124,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu125,Ascomycota,Dothideomycetes,Botryosphaeriales,Lasiodiplodia
Otu126,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu127,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu128,Ascomycota,Sordariomycetes,Hypocreales,Colletotrichum
Otu129,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu13,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu130,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu131,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu132,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu133,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu134,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu135,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales gen.
Otu136,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu136,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales gen.
Otu137,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu138,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu139,Ascomycota,Dothideomycetes,Botryosphaeriales,Lasiodiplodia
Otu14,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales gen.
Otu140,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu141,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu142,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu143,Ascomycota,Ascomycota class,Ascomycota ord.,Ascomycota gen.
Otu144,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu145,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales gen.
Otu146,Ascomycota,Pneumocystidomycetes,Pneumocystidales,Pneumocystidales gen.
Otu147,Ascomycota,Pneumocystidomycetes,Pneumocystidales,Pneumocystidales gen.
Otu148,Ascomycota,Ascomycota class,Ascomycota ord.,Ascomycota gen.
Otu149,Ascomycota,Ascomycota class,Ascomycota ord.,Ascomycota gen.
Otu15,Ascomycota,Saccharomycetes,Saccharomycetales,Yarrowia
Otu150,Ascomycota,Ascomycota class,Ascomycota ord.,Ascomycota gen.
Otu151,Ascomycota,Ascomycota class,Ascomycota ord.,Ascomycota gen.
Otu152,Ascomycota,Ascomycota class,Ascomycota ord.,Ascomycota gen.
Otu153,Ascomycota,Ascomycota class,Ascomycota ord.,Ascomycota gen.
Otu154,Ascomycota,Ascomycota class,Ascomycota ord.,Ascomycota gen.
Otu155,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales gen.
Otu156,Ascomycota,Schizosaccharomycetes,Schizosaccharomycetales,Schizosaccharomycetales gen.
Otu157,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium
Otu158,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu159,Ascomycota,Pneumocystidomycetes,Pneumocystidales,Pneumocystidales gen.
Otu16,Ascomycota,Sordariomycetes,Diaporthales,Diaporthales gen.
Otu160,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu161,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu162,Ascomycota,Sordariomycetes,Hypocreales,Microascus
Otu163,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium
Otu164,Ascomycota,Schizosaccharomycetes,Schizosaccharomycetales,Schizosaccharomycetales gen.
Otu165,Ascomycota,Schizosaccharomycetes,Schizosaccharomycetales,Schizosaccharomycetales gen.
Otu166,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales gen.
Otu167,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu168,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu169,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales gen.
Otu17,Ascomycota,Dothideomycetes,Pleosporales,Curvularia
Otu170,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu171,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales gen.
Otu172,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales gen.
Otu173,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu174,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu175,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium
Otu176,Ascomycota,Sordariomycetes,Hypocreales,Fusarium
Otu177,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu178,Ascomycota,Sordariomycetes,Hypocreales,Fusarium
Otu179,Ascomycota,Sordariomycetes,Hypocreales,Fusarium
Otu18,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu180,Ascomycota,Sordariomycetes,Hypocreales,Fusarium
Otu181,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales gen.
Otu182,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales gen.
Otu183,Ascomycota,Dothideomycetes,Botryosphaeriales,Lasiodiplodia
Otu184,Ascomycota,Dothideomycetes,Botryosphaeriales,Lasiodiplodia
Otu185,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales gen.
Otu186,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu187,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu188,Ascomycota,Sordariomycetes,Hypocreales,Trichoderma
Otu189,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu19,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu190,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu191,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu192,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu193,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu194,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium
Otu195,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu196,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium
Otu197,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium
Otu198,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu199,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu2,Ascomycota,Dothideomycetes,Botryosphaeriales,Lasiodiplodia
Otu20,Ascomycota,Sordariomycetes,Hypocreales,Colletotrichum
Otu200,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu201,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium
Otu202,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales gen.
Otu203,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu204,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu205,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu206,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu207,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu208,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu209,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales gen.
Otu21,Ascomycota,Sordariomycetes,Hypocreales,Fusarium
Otu210,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu211,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu22,Ascomycota,Sordariomycetes,Hypocreales,Fusarium
Otu23,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu24,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales gen.
Otu25,Ascomycota,Dothideomycetes,Pleosporales,Curvularia
Otu26,Ascomycota,Dothideomycetes,Capnodiales,Cladosporium
Otu27,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu28,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu29,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales gen.
Otu3,Ascomycota,Sordariomycetes,Hypocreales,Fusarium
Otu30,Ascomycota,Sordariomycetes,Hypocreales,Fusarium
Otu31,Ascomycota,Dothideomycetes,Botryosphaeriales,Lasiodiplodia
Otu32,Ascomycota,Sordariomycetes,Diaporthales,Diaporthales gen.
Otu33,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium
Otu34,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu35,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu36,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium
Otu37,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu38,Ascomycota,Sordariomycetes,Hypocreales,Fusarium
Otu39,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales gen.
Otu4,Ascomycota,Sordariomycetes,Hypocreales,Fusarium
Otu40,Ascomycota,Schizosaccharomycetes,Schizosaccharomycetales,Schizosaccharomycetales gen.
Otu41,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
