Serial.No,MusaSpecies,Collection.Location,Longitude,Latitude,Habitat,Habitat.summary,TZ,ER.seeds,ER.embryos,ER.shoots,ER.callus,ER.darkening,ER.empty,ER.contamination,ER.no_reaction
836375,Musa balbisiana,Vietnam:Ha Tinh Province:Ky Anh District,106.2809667,18.02483333,"Jungle buffer area, more than 10km from agricultural crops, loam soil texture",Jungle buffer,56,10,8,2,0,0,2,0,6
836445,Musa itinerans,Vietnam:Ha Tinh Province:Huong Son District,105.2149861,18.42705,"Jungle buffer area, more than 10km from agricultural crops, loam soil texture",Jungle buffer,0,10,0,0,0,0,10,0,0
836467,Musa itinerans,Vietnam:Nghe An Province:Thanh Chuong District,105.2101889,18.62081944,"Jungle buffer area, more than 10km from agricultural crops, loam soil texture",Jungle buffer,63,10,8,5,0,1,2,0,2
836478,Musa balbisiana,Vietnam:Nghe An Province:Thanh Chuong District,105.2377167,18.63780833,"Jungle buffer area, more than 10km from agricultural crops, loam soil texture",Jungle buffer,88,10,10,1,0,0,0,0,9
836489,Musa balbisiana,Vietnam:Nghe An Province:Thanh Chuong District,105.2377417,18.64161111,"Jungle buffer area, more than 10km from agricultural crops, loam soil texture",Jungle buffer,86,10,10,7,0,0,0,0,3
836490,Musa itinerans,Vietnam:Nghe An Province:Thanh Chuong District,105.2474528,18.63746944,"Jungle buffer area, more than 10km from agricultural crops, loam soil texture",Jungle buffer,52,10,10,7,0,0,0,0,3
836504,Musa itinerans,Vietnam:Nghe An Province:Thanh Chuong District,105.261775,18.64178056,"Jungle buffer area, more than 10km from agricultural crops, loam soil texture",Jungle buffer,88,10,6,0,0,1,3,0,6
836515,Musa itinerans,Vietnam:Nghe An Province:Con Cuong District,104.7255472,19.03020278,"Jungle buffer area, more than 10km from agricultural crops, loam soil texture",Jungle buffer,60,10,10,8,0,1,0,0,1
880079,Musa balbisiana,Vietnam:Lào Cai Province:Bao Thang District,103.2770556,22.35902778,"Ravines, clay-loam alkaline soil, not saline",Ravines,6,10,9,0,0,0,1,0,9
880116,Musa itinerans,Vietnam:Lào Cai Province:Sa Pa,103.9448889,22.24491667,"Ravines, 1000m to agricultural crops, clay-loam alkaline soil, not saline",Ravines,0,10,10,1,0,0,0,1,9
880127,Musa balbisiana,Vietnam:Lào Cai Province:Sa Pa,103.9585,22.24488889,"Ravines, 300m to agricultural crops, clay-loam alkaline soil, not saline",Ravines,0,10,10,0,0,0,0,1,10
880138,Musa itinerans,Vietnam:Lào Cai Province:Sa Pa,103.9504167,22.25375,"Ravines, 1000m to agricultural crops, clay-loam alkaline soil, not saline",Ravines,0,10,10,0,0,2,0,1,8
880149,Musa itinerans,Vietnam:Lào Cai Province:Sa Pa,103.9431944,22.25283333,"Ravines, clay-loam alkaline soil, not saline",Ravines,0,10,10,0,0,0,0,0,10
880161,Musa balbisiana,Vietnam:Lào Cai Province:Sa Pa,103.94475,22.25058333,"Ravines, 350m to agricultural crops, clay-loam alkaline soil, not saline",Ravines,0,10,10,1,0,0,0,0,9
880172,Musa balbisiana,Vietnam:Lào Cai Province:Sa Pa,103.9506222,22.23925,"Ravines, 400m to agricultural crops, clay-loam alkaline soil, not saline",Ravines,9,10,10,0,0,0,0,0,10
880264,Musa itinerans,Vietnam:Lai Châu Province:Tam Ðuong District,103.6762222,22.29258333,"Ravines, clay-loam alkaline soil, not saline",Ravines,4,10,8,0,0,0,2,0,8
880323,Musa itinerans,Vietnam:Lào Cai Province:Sa Pa,103.7786111,22.35397222,"Ravines, clay-loam alkaline soil, not saline",Ravines,3,10,7,0,0,0,3,0,7
880334,Musa itinerans,Vietnam:Lào Cai Province:Sa Pa,103.7878056,22.35641667,"Ravines, clay-loam alkaline soil, not saline",Ravines,0,10,7,0,0,0,3,0,7
880345,Musa balbisiana,Vietnam:Lào Cai Province:Sa Pa,103.7865556,22.35658333,"Ravines, 300m to agricultural crops, clay-loam alkaline soil, not saline",Ravines,54,10,10,0,0,0,0,0,10
880356,Musa balbisiana,Vietnam:Lào Cai Province:Sa Pa,103.7779167,22.35405556,"Ravines, 250m to agricultural crops, clay-loam alkaline soil, not saline",Ravines,0,10,9,0,0,0,1,0,9
880367,Musa balbisiana,Vietnam:Lào Cai Province:Sa Pa,103.7726389,22.32547222,"Ravines, 3500m to agricultural crops, clay-loam alkaline soil, not saline",Ravines,6,10,10,0,0,0,0,0,10
880585,Musa balbisiana,Vietnam:Lai Châu Province:Phong Tho District,103.17825,22.11472222,"Edge area of jungle, 5km distance to agricultural crops, loam soil pH7, not saline",Jungle edge,12,10,8,6,0,1,2,0,1
880600,Musa balbisiana,Vietnam:Lai Châu Province:Phong Tho District,103.3698056,22.46163889,"Edge area of jungle, 5km to agricultural crops, loam soil pH7, not saline",Jungle edge,60,10,10,8,0,2,0,0,0
880622,Musa itinerans,Vietnam:Lai Châu Province:Phong Tho District,103.1842528,22.60247222,"Edge area of jungle, 5km distance to agricultural crops, loam soil pH7, not saline",Jungle edge,23,10,10,3,0,0,0,0,7
880633,Musa itinerans,Vietnam:Lai Châu Province:Phong Tho District,103.3430278,22.54905556,"Edge area of jungle, 5km distance to agricultural crops, loam soil pH7, not saline",Jungle edge,45,10,9,7,0,2,1,0,0
880644,Musa itinerans,Vietnam:Lai Châu Province:Phong Tho District,103.2951389,22.57655556,"Edge area of jungle, 5km distance to agricultural crops, loam soil pH7, not saline",Jungle edge,51,10,10,3,0,2,0,0,5
882671,Musa acuminata,Malaysia:Peninsula Malaysia:Pahang,103.0339,3.71225,"Road side, near oil palm plantation, abandoned area, sandy-loam soil",Roadside,36,10,10,0,0,0,0,0,10
882730,Musa acuminata,Malaysia:Peninsula Malaysia:Pahang,102.1961167,3.871016667,"Near mixed fruit orchard, abandoned area, road side, sandy-loam soil",Roadside,46,10,9,0,0,0,1,0,9
882741,Musa acuminata,Malaysia:Peninsula Malaysia:Pahang,102.2067333,3.89665,"Near mixed fruit orchard, abandoned area, road side, loam soil texture",Roadside,83,10,10,7,0,1,0,0,2
882785,Musa acuminata,Malaysia:Peninsula Malaysia:Negeri Sembilan,102.1759722,2.499722222,"Near mixed fruit orchard, abandoned area, road side, sandy-loam soil",Roadside,48,10,9,5,0,2,1,0,2
882800,Musa acuminata,Malaysia:Peninsula Malaysia:Negeri Sembilan,102.3439444,2.808666667,"Near mixed fruit orchard, abandoned area, road side, sandy-loam soil texture",Roadside,64,10,9,3,0,3,1,0,3
882811,Musa acuminata,Malaysia:Peninsula Malaysia:Negeri Sembilan,102.3439444,2.808666667,"Near mixed fruit orchard, abandoned area, road side, sandy-loam soil texture",Roadside,71,10,8,0,0,0,2,0,8
882833,Musa acuminata,Malaysia:Peninsula Malaysia:Selangor,102.7878611,2.949083333,"Road side, sandy-loam soil texture",Roadside,73,10,10,2,0,2,0,0,6
882877,Musa gracilis,Malaysia:Peninsula Malaysia:Pahang,102.2068056,3.896722222,"Near mixed fruit orchard, abandoned area, road side, sandy-loam soil",Roadside,0,10,10,0,0,0,0,0,10
882888,Musa acuminata,Malaysia:Peninsula Malaysia:Johor,102.67745,2.114966667,"Within oil palm plantation area, sandy-loam soil texture",Oil palm plantation,51,10,10,5,0,1,0,0,4
882899,Musa acuminata,Malaysia:Peninsula Malaysia:Johor,102.67745,2.114966667,"Within oil palm plantation area, sandy-loam soil",Oil palm plantation,32,10,10,10,0,0,0,0,0
928337,Musa acuminata,Malaysia:Peninsula Malaysia:Pahang,101.8161944,3.347638889,"Beside secondary forest, land slide area, undulating, road side, loam soil",Jungle edge,36,10,10,4,0,0,0,0,6
928360,Musa violascens,Malaysia:Peninsula Malaysia:Pahang,101.8582778,3.321444444,"12km from village, main road to Genting Highland, land slide area, road side abondoned area, loam soil",Roadside,13,10,10,0,0,0,0,0,10
928429,Musa acuminata,Malaysia:Peninsula Malaysia:Johor,103.3721389,2.079027778,"Near Kampung Melayu 2, oil palm plantation, sandy-loam soil",Oil palm plantation,18,10,10,4,0,0,0,0,6
928500,Musa acuminata,Malaysia:Peninsula Malaysia:Pahang,101.68445,4.306555556,"Secondary forest, road side, undulating, gravel soil texture",Roadside,50,10,9,0,0,0,1,0,9
928717,Musa balbisiana,Vietnam:Hà Giang Province,104.6994083,22.65269722,"Forests, 500m to agricultural crops, alpine humus, not saline",Jungle edge,40,10,10,2,0,3,0,0,5
928728,Musa balbisiana,Vietnam:Hà Giang Province,104.7912861,22.57030278,"Forests, 400m to agricultural crops, alpine humus, not saline",Jungle edge,58,10,10,0,0,0,0,0,10
928739,Musa balbisiana,Vietnam:Hà Giang Province,104.7918167,22.56944444,"Forests, 400m to agricultural crops, alpine humus, not saline",Jungle edge,46,10,10,1,0,1,0,0,8
928740,Musa balbisiana,Vietnam:Hà Giang Province,104.7620722,22.60921389,"Forests, 800m to agricultural crops, alpine humus, not saline",Jungle edge,54,10,10,2,0,0,0,0,8
944548,Musa velutina,KEW,,,Botanical Garden,Botanical garden,NA,,,,,,,,
