Fusarium sp FIESC 1a 43637,Fusarium ipomoeae 43637
Fusarium sp FIESC 2a 36401,Fusarium duofalcatisporum 36401
Fusarium sp FIESC 3a 36323,Fusarium compactum 36323
Fusarium sp FIESC 5a 32871,Fusarium clavum 32871
Fusarium sp FIESC 6a 43638,Fusarium brevicaudatum 43638
Fusarium sp FIESC 7a 32997,Fusarium arcuatisporum 32997
Fusarium sp FIESC 10a 3020,Fusarium croceum 3020
Fusarium sp FIESC 11a 36372,Fusarium longifundum 36372
Fusarium sp FIESC 12a 6548,Fusarium flagelliforme 6548
Fusarium sp FIESC 13a 43635,Fusarium gracilipes 43635
Fusarium sp FIESC 15a 32175,Fusarium irregulare 32175
Fusarium sp FIESC 16a 34004,Fusarium sulawesiense 34004
Fusarium sp FIESC 17a 32864,Fusarium pernambucanum 32864
Fusarium sp FIESC 18a 31167,Fusarium luffae 31167
Fusarium sp FIESC 19a 43639,Fusarium multiceps 43639
Fusarium sp FIESC 21b 32865,Fusarium guilinense 32865
Fusarium sp FIESC 23b 13379,Fusarium incarnatum 13379
Fusarium sp FIESC 25a 22244,Fusarium nanum 22244
Fusarium sp FIESC 26a 26417,Fusarium hainanense 26417
Fusarium sp FIESC 28a 28577,Fusarium coffeatum 28577
Fusarium sp FIESC 24a 34005,Fusarium tanahbumbuense 34005
Fusarium buxicola 36148,Cyanonectria buxi  36148 (=Fusarium buxicola)
Fusarium cyanostomum 53998,Cyanonectria cyanostoma 53998 (=Fusarium cyanostomum)
Fusarium decemcellulare 13412,Albonectria rigidiuscula 13412 (=Fusarium decemcellulare)
Fusarium domesticum 29976,Bisifusarium domesticum 29976 (=Fusarium domesticum)
Fusarium lunatum 36168,Bisifusarium lunatum 36168 (=Fusarium lunatum)
Fusarium dimerum 20691,Bisifusarium dimerum 20691 (=Fusarium dimerum)
Fusarium penzigii 20711,Bisifusarium penzigii 20711 (=Fusarium penzigii)
Fusarium delphinoides 36160,Bisifusarium delphinoides 36160 (=Fusarium delphinoides)
Fusarium nectrioides 20689,Bisifusarium nectrioides 20689 (=Fusarium nectrioides)
Fusarium ventricosum 20846,Rectifusarium ventricosum 20846 (=Fusarium ventricosum)
Fusarium staphyleae 22316,Geejayessia atrofusca 22316 (=Fusarium staphyleae)
Fusarium zealandicum 22465,Geejayessia zealandica 22465 (=Fusarium zealandicum)
Fusarium illudens 22090,Neocosmospora illudens 22090 (=Fusarium illudens)
Fusarium virguliforme 31041,Neocosmospora phaseoli 31041 (=Fusarium virguliforme)
Fusarium phaseoli 22276,Neocosmospora phaseoli 22276 (=Fusarium phaseoli)
Fusarium falciforme 43529,Neocosmospora falciformis 43529 (=Fusarium falciforme)
Fusarium solani f sp pisi 45880,Neocosmospora pisi 45880 (=Fusarium solani f sp pisi)
Fusarium ambrosium 20438,Neocosmospora ambrosia 20438 (=Fusarium ambrosium)
Fusarium neocosmosporiellum 22436,Neocosmospora vasinfecta 22436 (=Fusarium neocosmosporiellum)
Fusarium plagianthi 22632,Neocosmospora plagianthi 22632 (=Fusarium plagianthi)
Cylindrocarpon cylindroides 22505,Neonectria neomacrospora 22505
